outbreaks,xcoord,ycoord,soil_pH,bio1,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19,elevation,distance_to_water,soil_calcium,soilwater,soil_carbon,evi,evi2018
1,172.9429994,-13.02600014,60.61550903,232.0246277,126.8896027,88,356.279541,305.9420471,162.8770905,143.0649414,230,233.1576233,236.8055573,228,887.5968018,126,31,40.6600647,309.2055054,139.0649414,236.2474518,267.1228943,170.5853424,0.00140403,18.61725998,23.74565125,30.99860191,2796.263029,2701.320332
1,174.3199994,-12.95400014,63.26570511,231.993454,126.944725,88,367.2083435,305.2836609,161.5893707,143.6942902,229.4147186,233.0957947,236.2678833,227.4216309,893.5748901,126.5852814,31.00691414,40.57836533,311.6165466,139.7943115,191.6808777,268.5749512,169.1687317,0.002352542,19.5198288,24.41759491,25.94039917,2954.062469,2898.520341
1,174.4979999,-13.0080002,63.26570511,231.993454,126.944725,88,367.2083435,305.2836609,161.5893707,143.6942902,229.4147186,233.0957947,236.2678833,227.4216309,893.5748901,126.5852814,31.00691414,40.57836533,311.6165466,139.7943115,191.6808777,268.5749512,169.1687317,0.002352542,19.5198288,24.41759491,25.94039917,2726.494289,2698.055686
1,175.4139991,-12.41000011,62.46101379,232.0487976,127,88,364.6880188,305.8644409,162.0520477,143.8123932,229.8644409,233.725647,236.8644409,227.8644409,891.1106567,126.1355515,31.00691605,40.12863541,310.6469421,139.1424713,174.5267639,267.5273438,169.8908234,0.002638691,19.72857285,23.087286,26.40640259,2085.899608,1999.663429
1,175.6099999,-12.27400017,62.46101379,232.0487976,127,88,364.6880188,305.8644409,162.0520477,143.8123932,229.8644409,233.725647,236.8644409,227.8644409,891.1106567,126.1355515,31.00691605,40.12863541,310.6469421,139.1424713,174.5267639,267.5273438,169.8908234,0.002638691,19.72857285,23.087286,26.40640259,2085.899608,1999.663429
1,176.1029999,-11.78400014,63.03052521,232.1560211,127,87.75136566,378.0130005,305.993042,161.892395,144.100647,229.993042,233.9770203,236.993042,227.993042,891.1897583,126.0069504,30.97593307,40.0310173,310.9774475,138.9588165,162.5123596,267.6978149,171.3212738,0.006763281,19.15777779,23.22130966,25.03678894,1147.723085,1148.449898
1,174.08,-11.75000017,63.96902847,232.1136932,127,87.7271347,381.5874023,305.5398254,161.4035034,144.1363068,229.2912903,233.5169678,236.4094086,227.5398102,893.4301758,126,31,40.46017838,311.9859619,139.4601898,169.4011536,268.3236389,172.4888611,0.00757036,18.84642029,24.54506493,26.00846481,2723.491226,2835.876922
1,174.9009999,-12.09900014,62.6002655,232.3252106,127,88,356.7125549,305.8662109,162.6506958,143.2155151,229.8820801,233.4069519,236.8662262,227.8820801,890.170105,126.0625076,31,40.11791611,310.361145,139.1337738,217.3614502,267.2987671,170.5368958,0.001418036,21.03423309,22.87075043,34.60746384,1536.758603,1485.766643
1,174.9169995,-12.00400015,62.6002655,232.3252106,127,88,356.7125549,305.8662109,162.6506958,143.2155151,229.8820801,233.4069519,236.8662262,227.8820801,890.170105,126.0625076,31,40.11791611,310.361145,139.1337738,217.3614502,267.2987671,170.5368958,0.001418036,21.03423309,22.87075043,34.60746384,1536.758603,1485.766643
1,181.2270001,-16.37400017,61.77582932,229.6081848,126.9285202,87.92194366,370.5214233,303.1277466,159.12117,144.0065765,227.1514435,230.6665955,233.7446594,225.1514435,923.9539185,129.87883,31.97720337,40.54543304,323.8702087,145.8508148,188.5715637,279.4060059,158.5098572,0.043670386,10.11245823,24.83700943,26.11989975,3789.651913,3813.716974
1,174.4269997,-13.02400009,63.26570511,231.993454,126.944725,88,367.2083435,305.2836609,161.5893707,143.6942902,229.4147186,233.0957947,236.2678833,227.4216309,893.5748901,126.5852814,31.00691414,40.57836533,311.6165466,139.7943115,191.6808777,268.5749512,169.1687317,0.002352542,19.5198288,24.41759491,25.94039917,2726.494289,2698.055686
1,174.54,-13.0300001,63.26570511,231.993454,126.944725,88,367.2083435,305.2836609,161.5893707,143.6942902,229.4147186,233.0957947,236.2678833,227.4216309,893.5748901,126.5852814,31.00691414,40.57836533,311.6165466,139.7943115,191.6808777,268.5749512,169.1687317,0.002352542,19.5198288,24.41759491,25.94039917,2726.494289,2698.055686
1,178.2499999,-11.18200008,61.05812836,232,127,87.21305084,379.1068115,305.9212036,161.1342621,144.7869415,229.9375153,233,236.1127777,227.9375153,896.3814697,126.8657455,31,40.80760956,312.7427063,139.0556335,174.4832001,268.7358398,169.5697632,0.005643703,15.90515327,25.56026459,28.4861412,2895.251816,2698.246198
1,176.4619992,-11.20200013,61.83446503,232.1928864,127,87.92027283,372.2270508,305.9373474,161.8576202,144.0797272,229.9442596,233.8564453,236.8803864,227.9442596,890.675354,126.0865936,30.80710793,40.33643723,310.617981,138.6699524,166.3598328,267.225769,170.7374573,0.004082305,19.27698517,23.60185242,31.1027317,1839.929145,1600.35427
1,174.1949998,-12.8600001,62.13031387,232.1881104,126.977356,88,362.4002686,305.4761658,161.9039917,143.5721893,229.9353638,233.2660675,236.4208527,227.9353638,891.4057007,126.0646286,31,40.21059036,310.8532715,139.5860901,202.8295135,268.1099243,169.8770447,0.001347909,18.91165733,24.21004868,29.46131706,1456.175788,1547.646443
1,175.5649993,-12.31600013,62.46101379,232.0487976,127,88,364.6880188,305.8644409,162.0520477,143.8123932,229.8644409,233.725647,236.8644409,227.8644409,891.1106567,126.1355515,31.00691605,40.12863541,310.6469421,139.1424713,174.5267639,267.5273438,169.8908234,0.002638691,19.72857285,23.087286,26.40640259,2085.899608,1999.663429
1,176.1279998,-18.03000016,61.73840332,229.9932861,126.0246582,87.43350983,371.6392212,302.9932861,159.54039,143.4529114,227.4806213,230.9932861,233.9932861,225.4268036,915.0454712,129.0067139,31,40.3432312,319.936554,145.6559601,170.2291565,277.0836182,161.3085785,0.040052429,12.1014595,25.85084534,26.68916702,4125.406589,3638.467489
1,176.136,-16.91000022,61.93744659,230.0504608,126.5370255,87.92354584,368.9650269,303.2541809,159.640686,143.6134796,227.8669586,231.2273407,234.2541656,225.8669586,914.0808105,129.0067139,31,40.7301445,319.8200073,145.0898743,194.2032166,276.8200073,161.7814941,0.03632604,10.96913147,27.14751625,25.44927406,4054.154095,3562.114138
1,175.9929995,-16.20000016,61.42284775,230.8662415,126.2844925,88,361.0308228,303.9231873,160.6386719,143.2845001,228,231.923172,234.923172,226,910.4907837,128.5906372,31,40.48618698,318.0048828,144.5012054,254.4546509,275.11203,164.1692352,0.025433658,9.897449493,26.46822548,24.16454124,4154.500557,3665.166311
