outbreaks,xcoord,ycoord,soil_pH,bio1,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19,elevation,distance_to_water,soil_calcium,soilwater,soil_carbon,evi,evi2018
1,175.4679995,-12.35000011,62.46101379,232.0487976,127,88,364.6880188,305.8644409,162.0520477,143.8123932,229.8644409,233.725647,236.8644409,227.8644409,891.1106567,126.1355515,31.00691605,40.12863541,310.6469421,139.1424713,174.5267639,267.5273438,169.8908234,0.002638691,19.72857285,23.087286,26.40640259,2085.899608,1999.663429
1,172.7189992,-12.95000016,60.61550903,232.0246277,126.8896027,88,356.279541,305.9420471,162.8770905,143.0649414,230,233.1576233,236.8055573,228,887.5968018,126,31,40.6600647,309.2055054,139.0649414,236.2474518,267.1228943,170.5853424,0.00140403,18.61725998,23.74565125,30.99860191,2796.263029,2701.320332
1,173.0769997,-12.45000015,61.88647079,232.0580292,126.8704453,88,361.2836914,305.9136353,162.6874542,143.226181,229.9206543,233.3822021,236.7033386,227.9206543,888.9823608,126,31,40.09587097,309.730896,139.0863647,227.9905243,267.3673706,171.8289795,0.004485892,18.57312584,23.82398224,27.47189713,1412.851376,1381.533034
1,174.472999,-13.01600009,63.26570511,231.993454,126.944725,88,367.2083435,305.2836609,161.5893707,143.6942902,229.4147186,233.0957947,236.2678833,227.4216309,893.5748901,126.5852814,31.00691414,40.57836533,311.6165466,139.7943115,191.6808777,268.5749512,169.1687317,0.002352542,19.5198288,24.41759491,25.94039917,2726.494289,2698.055686
1,174.4259997,-13.01800016,63.26570511,231.993454,126.944725,88,367.2083435,305.2836609,161.5893707,143.6942902,229.4147186,233.0957947,236.2678833,227.4216309,893.5748901,126.5852814,31.00691414,40.57836533,311.6165466,139.7943115,191.6808777,268.5749512,169.1687317,0.002352542,19.5198288,24.41759491,25.94039917,2726.494289,2698.055686
1,174.515,-13.00400017,63.26570511,231.993454,126.944725,88,367.2083435,305.2836609,161.5893707,143.6942902,229.4147186,233.0957947,236.2678833,227.4216309,893.5748901,126.5852814,31.00691414,40.57836533,311.6165466,139.7943115,191.6808777,268.5749512,169.1687317,0.002352542,19.5198288,24.41759491,25.94039917,2726.494289,2698.055686
1,174.5679992,-12.99000009,63.26570511,231.993454,126.944725,88,367.2083435,305.2836609,161.5893707,143.6942902,229.4147186,233.0957947,236.2678833,227.4216309,893.5748901,126.5852814,31.00691414,40.57836533,311.6165466,139.7943115,191.6808777,268.5749512,169.1687317,0.002352542,19.5198288,24.41759491,25.94039917,2726.494289,2698.055686
1,174.6859993,-12.98000011,63.26570511,231.993454,126.944725,88,367.2083435,305.2836609,161.5893707,143.6942902,229.4147186,233.0957947,236.2678833,227.4216309,893.5748901,126.5852814,31.00691414,40.57836533,311.6165466,139.7943115,191.6808777,268.5749512,169.1687317,0.002352542,19.5198288,24.41759491,25.94039917,2726.494289,2698.055686
1,175.2439991,-12.61200013,62.46101379,232.0487976,127,88,364.6880188,305.8644409,162.0520477,143.8123932,229.8644409,233.725647,236.8644409,227.8644409,891.1106567,126.1355515,31.00691605,40.12863541,310.6469421,139.1424713,174.5267639,267.5273438,169.8908234,0.002638691,19.72857285,23.087286,26.40640259,1536.758603,1485.766643
1,175.525999,-12.30400015,62.46101379,232.0487976,127,88,364.6880188,305.8644409,162.0520477,143.8123932,229.8644409,233.725647,236.8644409,227.8644409,891.1106567,126.1355515,31.00691605,40.12863541,310.6469421,139.1424713,174.5267639,267.5273438,169.8908234,0.002638691,19.72857285,23.087286,26.40640259,2085.899608,1999.663429
1,171.3889992,-3.480000052,72.55319214,232.8508148,127,87.76007843,376.2574768,306.2399292,162,144.2399292,230.2399292,233.3222198,236.9927826,227.9413757,892.6798096,124.6311874,29,40,311.7839661,137,233.8656921,266.7600708,200.2020264,0.019384282,16.55582428,26.50038719,12.5053463,2904.536153,2638.818837
